time,P,G(i),H_sun,T2m,WS10m,Int
20190105:0510,0.0,0.0,0.0,2.35,4.69,0.0
20190105:0610,0.0,0.0,0.0,2.47,4.48,0.0
20190105:0710,0.0,0.0,0.0,2.21,4.62,0.0
20190105:0810,39.49,59.53,5.59,3.22,4.55,0.0
20190105:0910,32.36,51.68,11.23,4.13,4.48,0.0
20190105:1010,23.5,40.8,14.98,4.64,4.28,0.0
20190105:1110,24.19,41.71,16.51,4.84,3.86,0.0
20190105:1210,31.47,50.77,15.68,4.98,3.59,0.0
20190105:1310,30.72,49.87,12.57,5.0,3.38,0.0
20190105:1410,81.24,108.17,7.46,5.05,3.24,0.0
20190105:1510,0.0,0.0,0.0,4.99,3.03,0.0
20190105:1610,0.0,0.0,0.0,4.91,2.9,0.0
20190105:1710,0.0,0.0,0.0,4.85,2.9,0.0
20190105:1810,0.0,0.0,0.0,4.79,2.97,0.0
20190105:1910,0.0,0.0,0.0,4.56,3.45,0.0
20190105:2010,0.0,0.0,0.0,4.53,3.38,0.0
20190105:2110,0.0,0.0,0.0,4.5,3.31,0.0
20190105:2210,0.0,0.0,0.0,4.46,3.1,0.0
20190105:2310,0.0,0.0,0.0,4.4,2.76,0.0
20190106:0010,0.0,0.0,0.0,4.29,2.28,0.0
20190106:0110,0.0,0.0,0.0,4.08,2.07,0.0
20190106:0210,0.0,0.0,0.0,3.81,1.93,0.0
20190106:0310,0.0,0.0,0.0,3.51,1.86,0.0
20190106:0410,0.0,0.0,0.0,3.08,1.86,0.0
20190106:0510,0.0,0.0,0.0,2.54,1.72,0.0
20190106:0610,0.0,0.0,0.0,2.08,1.45,0.0
20190106:0710,0.0,0.0,0.0,1.88,1.31,0.0
20190106:0810,25.85,43.08,5.65,1.65,1.17,0.0
20190106:0910,149.14,180.44,11.31,1.71,1.03,0.0
20190106:1010,108.75,137.3,15.07,2.05,1.31,0.0
20190106:1110,24.45,41.71,16.63,2.43,1.52,0.0
20190106:1210,27.31,45.33,15.81,2.95,1.79,0.0
20190106:1310,23.65,40.8,12.71,3.13,1.72,0.0
20190106:1410,11.25,24.48,7.6,3.23,1.66,0.0
20190106:1510,0.0,0.0,0.0,3.17,1.38,0.0
20190106:1610,0.0,0.0,0.0,3.11,1.38,0.0
20190106:1710,0.0,0.0,0.0,3.11,1.59,0.0
20190106:1810,0.0,0.0,0.0,3.05,1.79,0.0
20190106:1910,0.0,0.0,0.0,3.43,1.93,0.0
20190106:2010,0.0,0.0,0.0,3.56,2.21,0.0
20190106:2110,0.0,0.0,0.0,3.66,2.14,0.0
20190106:2210,0.0,0.0,0.0,3.76,2.21,0.0
20190106:2310,0.0,0.0,0.0,3.8,2.62,0.0
20190107:0010,0.0,0.0,0.0,3.78,2.97,0.0
20190107:0110,0.0,0.0,0.0,3.67,3.31,0.0
20190107:0210,0.0,0.0,0.0,3.48,3.38,0.0
20190107:0310,0.0,0.0,0.0,3.3,3.31,0.0
20190107:0410,0.0,0.0,0.0,3.13,3.03,0.0
20190107:0510,0.0,0.0,0.0,3.02,2.9,0.0
20190107:0610,0.0,0.0,0.0,2.91,2.76,0.0
20190107:0710,0.0,0.0,0.0,2.95,2.83,0.0
20190107:0810,25.58,42.92,5.71,2.92,2.83,0.0
20190107:0910,41.62,62.41,11.39,2.93,2.9,0.0
20190107:1010,46.28,68.0,15.18,3.01,3.24,0.0
20190107:1110,20.82,37.17,16.75,3.04,3.45,0.0
20190107:1210,47.06,68.9,15.95,3.04,3.66,0.0
20190107:1310,38.53,58.93,12.86,3.28,3.38,0.0
20190107:1410,49.02,71.04,7.76,3.34,2.9,0.0
20190107:1510,0.0,0.0,0.0,3.12,2.83,0.0
20190107:1610,0.0,0.0,0.0,2.93,2.97,0.0
20190107:1710,0.0,0.0,0.0,2.79,3.31,0.0
20190107:1810,0.0,0.0,0.0,2.6,3.66,0.0
20190107:1910,0.0,0.0,0.0,2.52,4.0,0.0
20190107:2010,0.0,0.0,0.0,2.49,4.41,0.0
20190107:2110,0.0,0.0,0.0,2.38,4.76,0.0
20190107:2210,0.0,0.0,0.0,2.25,5.17,0.0
20190107:2310,0.0,0.0,0.0,2.28,5.45,0.0
20190108:0010,0.0,0.0,0.0,2.32,5.66,0.0
20190108:0110,0.0,0.0,0.0,2.36,5.79,0.0
20190108:0210,0.0,0.0,0.0,2.39,5.59,0.0
20190108:0310,0.0,0.0,0.0,2.68,5.31,0.0
20190108:0410,0.0,0.0,0.0,3.2,4.97,0.0
20190108:0510,0.0,0.0,0.0,3.67,4.62,0.0
20190108:0610,0.0,0.0,0.0,3.57,5.1,0.0
20190108:0710,0.0,0.0,0.0,3.38,5.24,0.0
20190108:0810,32.34,51.07,5.78,3.11,5.52,0.0
20190108:0910,56.51,79.51,11.48,3.53,5.86,0.0
20190108:1010,152.22,183.97,15.28,3.63,5.93,0.0
20190108:1110,31.69,50.77,16.87,3.83,6.28,0.0
20190108:1210,52.41,75.25,16.09,3.88,6.28,0.0
20190108:1310,100.57,128.39,13.01,3.77,6.21,0.0
20190108:1410,288.06,332.54,7.92,3.63,6.28,0.0
20190108:1510,0.0,0.0,0.0,3.48,6.14,0.0
20190108:1610,0.0,0.0,0.0,2.97,5.79,0.0
20190108:1710,0.0,0.0,0.0,2.74,5.66,0.0
20190108:1810,0.0,0.0,0.0,2.15,5.66,0.0
20190108:1910,0.0,0.0,0.0,1.95,5.86,0.0
