time,P,G(i),H_sun,T2m,WS10m,Int
20190222:0910,92.64,121.98,22.03,6.18,3.72,0.0
20190222:1010,60.44,85.22,26.66,5.7,3.66,0.0
20190222:1110,83.67,111.52,28.84,5.06,3.31,0.0
20190222:1210,60.79,85.22,28.28,4.4,3.1,0.0
20190222:1310,39.15,59.84,25.05,3.92,2.97,0.0
20190222:1410,50.8,73.44,19.57,3.59,2.97,0.0
20190222:1510,17.3,32.64,12.38,3.13,2.83,0.0
20190222:1610,0.0,5.44,4.0,2.59,2.69,0.0
20190222:1710,0.0,0.0,0.0,2.07,2.41,0.0
20190222:1810,0.0,0.0,0.0,1.54,2.41,0.0
20190222:1910,0.0,0.0,0.0,1.14,2.55,0.0
20190222:2010,0.0,0.0,0.0,0.73,2.9,0.0
20190222:2110,0.0,0.0,0.0,0.32,2.55,0.0
20190222:2210,0.0,0.0,0.0,-0.15,2.0,0.0
20190222:2310,0.0,0.0,0.0,-0.69,1.72,0.0
20190223:0010,0.0,0.0,0.0,-1.23,1.66,0.0
20190223:0110,0.0,0.0,0.0,-1.91,1.52,0.0
20190223:0210,0.0,0.0,0.0,-2.59,1.52,0.0
20190223:0310,0.0,0.0,0.0,-3.39,1.66,0.0
20190223:0410,0.0,0.0,0.0,-3.58,2.14,0.0
20190223:0510,0.0,0.0,0.0,-3.57,2.14,0.0
20190223:0610,0.0,0.0,0.0,-3.83,1.59,0.0
20190223:0710,181.02,215.99,7.82,-3.33,1.03,0.0
20190223:0810,468.09,534.87,15.8,-1.24,1.03,0.0
20190223:0910,618.55,719.01,22.38,0.27,1.24,0.0
20190223:1010,729.17,862.61,27.02,1.95,1.72,0.0
20190223:1110,720.03,855.87,29.2,3.53,1.93,0.0
20190223:1210,707.87,847.63,28.64,4.73,1.72,0.0
20190223:1310,392.98,460.58,25.4,5.58,1.52,0.0
20190223:1410,529.02,626.03,19.89,5.95,1.52,0.0
20190223:1510,263.92,319.92,12.67,5.74,1.45,0.0
20190223:1610,11.52,26.23,4.28,4.73,1.52,0.0
20190223:1710,0.0,0.0,0.0,3.06,1.66,0.0
20190223:1810,0.0,0.0,0.0,1.51,1.59,0.0
20190223:1910,0.0,0.0,0.0,0.26,1.45,0.0
20190223:2010,0.0,0.0,0.0,-0.64,1.59,0.0
20190223:2110,0.0,0.0,0.0,-1.38,1.59,0.0
20190223:2210,0.0,0.0,0.0,-1.71,1.66,0.0
20190223:2310,0.0,0.0,0.0,-1.86,1.72,0.0
20190224:0010,0.0,0.0,0.0,-1.96,1.66,0.0
20190224:0110,0.0,0.0,0.0,-2.06,1.66,0.0
20190224:0210,0.0,0.0,0.0,-2.19,1.59,0.0
20190224:0310,0.0,0.0,0.0,-2.34,1.52,0.0
20190224:0410,0.0,0.0,0.0,-2.44,1.52,0.0
20190224:0510,0.0,0.0,0.0,-2.52,1.45,0.0
20190224:0610,0.0,0.0,0.0,-2.49,1.59,0.0
20190224:0710,266.74,312.25,8.14,-1.95,1.72,0.0
20190224:0810,505.01,580.89,16.13,0.53,1.38,0.0
20190224:0910,678.63,808.28,22.73,3.37,1.17,0.0
20190224:1010,726.33,888.41,27.39,5.65,0.97,0.0
20190224:1110,765.45,960.3,29.57,7.15,0.62,0.0
20190224:1210,702.5,877.83,29.0,8.18,0.48,0.0
20190224:1310,635.35,785.27,25.74,8.8,0.48,0.0
20190224:1410,492.96,599.32,20.21,9.04,0.41,0.0
20190224:1510,314.78,388.69,12.97,8.85,0.55,0.0
20190224:1610,14.83,31.62,4.56,7.64,0.83,0.0
20190224:1710,0.0,0.0,0.0,7.35,0.28,0.0
20190224:1810,0.0,0.0,0.0,6.41,0.97,0.0
20190224:1910,0.0,0.0,0.0,3.5,1.52,0.0
20190224:2010,0.0,0.0,0.0,1.58,2.07,0.0
20190224:2110,0.0,0.0,0.0,0.58,2.07,0.0
20190224:2210,0.0,0.0,0.0,-0.23,1.79,0.0
20190224:2310,0.0,0.0,0.0,-0.62,1.72,0.0
20190225:0010,0.0,0.0,0.0,-0.84,1.72,0.0
20190225:0110,0.0,0.0,0.0,-0.96,1.72,0.0
20190225:0210,0.0,0.0,0.0,-0.98,1.79,0.0
20190225:0310,0.0,0.0,0.0,-0.95,1.79,0.0
20190225:0410,0.0,0.0,0.0,-0.96,1.79,0.0
20190225:0510,0.0,0.0,0.0,-0.96,1.79,0.0
20190225:0610,0.0,0.0,0.0,-0.99,1.79,0.0
20190225:0710,281.5,330.89,8.46,-0.46,1.72,0.0
20190225:0810,470.13,545.57,16.47,2.16,1.1,0.0
20190225:0910,594.74,715.9,23.09,6.37,0.83,0.0
20190225:1010,724.54,904.97,27.76,8.86,0.83,0.0
20190225:1110,760.81,961.58,29.95,10.42,1.03,0.0
20190225:1210,704.64,885.49,29.36,11.4,1.03,0.0
20190225:1310,605.26,750.54,26.08,12.03,0.97,0.0
20190225:1410,440.54,536.29,20.53,12.19,1.17,0.0
20190225:1510,317.3,395.04,13.27,11.79,1.17,0.0
20190225:1610,15.68,32.99,4.83,10.51,1.59,0.0
20190225:1710,0.0,0.0,0.0,8.58,2.07,0.0
20190225:1810,0.0,0.0,0.0,6.65,2.28,0.0
20190225:1910,0.0,0.0,0.0,5.9,2.07,0.0
20190225:2010,0.0,0.0,0.0,4.41,2.14,0.0
20190225:2110,0.0,0.0,0.0,3.38,2.14,0.0
20190225:2210,0.0,0.0,0.0,2.62,2.21,0.0
20190225:2310,0.0,0.0,0.0,2.01,2.28,0.0
20190226:0010,0.0,0.0,0.0,1.58,2.28,0.0
20190226:0110,0.0,0.0,0.0,1.36,2.28,0.0
20190226:0210,0.0,0.0,0.0,1.1,2.21,0.0
20190226:0310,0.0,0.0,0.0,0.84,2.07,0.0
20190226:0410,0.0,0.0,0.0,0.8,2.07,0.0
20190226:0510,0.0,0.0,0.0,0.76,2.07,0.0
20190226:0610,0.0,0.0,0.0,0.63,2.14,0.0
20190226:0710,274.5,324.07,8.79,0.78,1.93,0.0
20190226:0810,477.6,556.74,16.81,3.42,1.31,0.0
20190226:0910,612.37,741.07,23.45,7.97,1.17,0.0
20190226:1010,753.19,938.52,28.13,10.16,1.52,0.0
20190226:1110,769.74,964.72,30.32,11.46,1.79,0.0
20190226:1210,718.5,895.04,29.73,12.44,1.93,0.0
20190226:1310,655.26,809.17,26.43,12.86,1.93,0.0
20190226:1410,309.67,376.1,20.85,12.78,1.93,0.0
20190226:1510,246.35,307.43,13.56,12.13,1.66,0.0
20190226:1610,21.44,41.68,5.11,10.77,1.66,0.0
20190226:1710,0.0,0.0,0.0,8.78,1.66,0.0
20190226:1810,0.0,0.0,0.0,6.66,1.79,0.0
20190226:1910,0.0,0.0,0.0,6.23,1.66,0.0
20190226:2010,0.0,0.0,0.0,5.32,1.66,0.0
20190226:2110,0.0,0.0,0.0,6.23,1.24,0.0
20190226:2210,0.0,0.0,0.0,7.55,0.41,0.0
20190226:2310,0.0,0.0,0.0,7.38,0.21,0.0
20190227:0010,0.0,0.0,0.0,6.95,0.9,0.0
20190227:0110,0.0,0.0,0.0,3.06,1.72,0.0
20190227:0210,0.0,0.0,0.0,1.7,2.07,0.0
20190227:0310,0.0,0.0,0.0,1.05,2.07,0.0
20190227:0410,0.0,0.0,0.0,0.44,1.93,0.0
20190227:0510,0.0,0.0,0.0,0.14,1.86,0.0
20190227:0610,0.0,0.0,0.0,-0.01,1.86,0.0
20190227:0710,279.18,328.84,9.12,0.16,1.59,0.0
20190227:0810,530.82,622.67,17.15,3.34,1.1,0.0
20190227:0910,663.59,812.44,23.81,8.08,0.97,0.0
20190227:1010,750.04,947.41,28.5,10.81,1.03,0.0
20190227:1110,771.62,988.28,30.7,12.6,1.1,0.0
20190227:1210,702.86,888.01,30.09,13.63,1.38,0.0
20190227:1310,648.25,810.48,26.77,14.13,1.52,0.0
20190227:1410,509.82,626.96,21.17,14.12,1.59,0.0
20190227:1510,330.44,413.65,13.86,13.51,1.45,0.0
20190227:1610,23.95,45.47,5.39,11.81,2.07,0.0
20190227:1710,0.0,0.0,0.0,9.31,2.41,0.0
20190227:1810,0.0,0.0,0.0,7.35,2.62,0.0
20190227:1910,0.0,0.0,0.0,7.48,2.48,0.0
20190227:2010,0.0,0.0,0.0,6.34,2.62,0.0
20190227:2110,0.0,0.0,0.0,5.79,2.83,0.0
20190227:2210,0.0,0.0,0.0,5.6,2.97,0.0
20190227:2310,0.0,0.0,0.0,5.63,3.1,0.0
20190228:0010,0.0,0.0,0.0,5.81,3.31,0.0
20190228:0110,0.0,0.0,0.0,5.9,3.31,0.0
20190228:0210,0.0,0.0,0.0,5.96,3.31,0.0
20190228:0310,0.0,0.0,0.0,5.94,3.24,0.0
20190228:0410,0.0,0.0,0.0,5.78,3.17,0.0
20190228:0510,0.0,0.0,0.0,5.49,3.03,0.0
20190228:0610,0.0,0.0,0.0,5.17,3.03,0.0
20190228:0710,264.18,317.36,9.45,5.66,2.97,0.0
20190228:0810,514.56,603.08,17.5,7.62,3.1,0.0
20190228:0910,612.48,725.02,24.17,9.35,3.59,0.0
20190228:1010,764.36,919.59,28.88,10.54,4.21,0.0
20190228:1110,774.31,936.36,31.08,11.49,4.41,0.0
20190228:1210,479.54,569.67,30.46,12.19,4.48,0.0
20190228:1310,542.48,647.31,27.12,12.59,4.21,0.0
20190228:1410,409.84,488.82,21.49,12.54,4.07,0.0
20190228:1510,9.49,22.67,14.15,12.02,3.45,0.0
20190228:1610,37.89,66.43,5.67,11.1,3.59,0.0
20190228:1710,0.0,0.0,0.0,9.78,3.45,0.0
20190228:1810,0.0,0.0,0.0,8.81,3.31,0.0
20190228:1910,0.0,0.0,0.0,8.55,3.17,0.0
20190228:2010,0.0,0.0,0.0,8.52,2.9,0.0
20190228:2110,0.0,0.0,0.0,8.57,2.83,0.0
20190228:2210,0.0,0.0,0.0,8.21,3.03,0.0
20190228:2310,0.0,0.0,0.0,7.62,3.17,0.0
20190301:0010,0.0,0.0,0.0,7.16,3.38,0.0
20190301:0110,0.0,0.0,0.0,6.89,3.03,0.0
20190301:0210,0.0,0.0,0.0,6.24,2.9,0.0
20190301:0310,0.0,0.0,0.0,5.85,3.03,0.0
20190301:0410,0.0,0.0,0.0,5.57,2.97,0.0
20190301:0510,0.0,0.0,0.0,5.53,2.83,0.0
20190301:0610,0.0,0.0,0.0,5.35,2.62,0.0
20190301:0710,141.61,178.05,9.79,5.62,2.28,0.0
20190301:0810,96.28,126.07,17.85,6.34,2.69,0.0
20190301:0910,391.18,455.05,24.54,7.06,3.59,0.0
20190301:1010,115.64,149.05,29.26,8.06,3.93,0.0
20190301:1110,169.19,209.51,31.46,8.57,3.59,0.0
20190301:1210,190.78,233.39,30.83,8.49,3.59,0.0
20190301:1310,203.79,247.92,27.47,8.88,3.59,0.0
20190301:1410,40.46,62.56,21.81,8.83,3.45,0.0
20190301:1510,140.33,178.58,14.45,8.94,3.31,0.0
20190301:1610,13.05,27.85,5.95,7.83,2.41,0.0
20190301:1710,0.0,0.0,0.0,7.08,2.48,0.0
20190301:1810,0.0,0.0,0.0,6.36,2.28,0.0
20190301:1910,0.0,0.0,0.0,5.48,2.41,0.0
20190301:2010,0.0,0.0,0.0,4.96,2.55,0.0
20190301:2110,0.0,0.0,0.0,4.4,2.41,0.0
20190301:2210,0.0,0.0,0.0,3.85,2.21,0.0
20190301:2310,0.0,0.0,0.0,3.47,1.93,0.0
20190302:0010,0.0,0.0,0.0,3.21,1.59,0.0
20190302:0110,0.0,0.0,0.0,2.93,1.31,0.0
20190302:0210,0.0,0.0,0.0,2.9,1.24,0.0
20190302:0310,0.0,0.0,0.0,2.8,1.17,0.0
20190302:0410,0.0,0.0,0.0,2.77,1.52,0.0
20190302:0510,0.0,0.0,0.0,2.77,1.38,0.0
20190302:0610,0.0,0.0,0.0,2.73,1.38,0.0
20190302:0710,42.64,63.84,10.12,2.92,2.0,0.0
20190302:0810,75.98,102.03,18.2,3.21,2.41,0.0
20190302:0910,93.39,121.93,24.91,3.75,2.28,0.0
20190302:1010,88.65,116.96,29.64,4.48,2.69,0.0
20190302:1110,124.42,157.11,31.84,4.98,3.17,0.0
20190302:1210,37.31,58.03,31.2,5.72,3.24,0.0
20190302:1310,71.37,97.92,27.81,5.97,3.31,0.0
20190302:1410,88.15,117.18,22.13,6.44,3.38,0.0
20190302:1510,83.19,111.79,14.75,6.44,3.24,0.0
20190302:1610,0.0,5.44,6.22,6.26,2.69,0.0
20190302:1710,0.0,0.0,0.0,5.92,2.48,0.0
20190302:1810,0.0,0.0,0.0,5.48,2.41,0.0
20190302:1910,0.0,0.0,0.0,5.03,2.55,0.0
20190302:2010,0.0,0.0,0.0,5.12,2.83,0.0
20190302:2110,0.0,0.0,0.0,5.48,3.24,0.0
20190302:2210,0.0,0.0,0.0,5.82,3.72,0.0
20190302:2310,0.0,0.0,0.0,6.1,4.07,0.0
20190303:0010,0.0,0.0,0.0,6.3,4.21,0.0
20190303:0110,0.0,0.0,0.0,6.5,4.14,0.0
20190303:0210,0.0,0.0,0.0,6.64,4.28,0.0
20190303:0310,0.0,0.0,0.0,6.68,4.41,0.0
20190303:0410,0.0,0.0,0.0,6.67,4.48,0.0
20190303:0510,0.0,0.0,0.0,6.45,4.55,0.0
20190303:0610,0.0,0.0,0.0,6.31,4.69,0.0
20190303:0710,24.7,42.61,10.46,6.61,5.24,0.0
20190303:0810,60.08,85.22,18.56,7.16,5.1,0.0
20190303:0910,79.69,107.89,25.28,7.71,6.62,0.0
20190303:1010,70.73,97.92,30.02,8.6,8.07,0.0
20190303:1110,152.94,190.63,32.23,8.83,7.52,0.0
20190303:1210,135.19,170.9,31.57,8.75,7.1,0.0
20190303:1310,58.92,84.32,28.16,8.59,5.93,0.0
20190303:1410,46.58,69.81,22.45,8.64,5.03,0.0
20190303:1510,22.32,39.89,15.04,8.63,4.48,0.0
20190303:1610,31.72,54.96,6.5,8.63,5.31,0.0
20190303:1710,0.0,0.0,0.0,8.19,5.1,0.0
20190303:1810,0.0,0.0,0.0,7.86,4.9,0.0
20190303:1910,0.0,0.0,0.0,8.44,5.1,0.0
20190303:2010,0.0,0.0,0.0,8.0,4.97,0.0
20190303:2110,0.0,0.0,0.0,8.02,5.03,0.0
20190303:2210,0.0,0.0,0.0,8.07,4.97,0.0
20190303:2310,0.0,0.0,0.0,8.06,5.1,0.0
20190304:0010,0.0,0.0,0.0,7.94,5.03,0.0
20190304:0110,0.0,0.0,0.0,7.53,4.9,0.0
20190304:0210,0.0,0.0,0.0,7.19,4.69,0.0
20190304:0310,0.0,0.0,0.0,7.14,4.9,0.0
20190304:0410,0.0,0.0,0.0,7.67,4.9,0.0
20190304:0510,0.0,0.0,0.0,7.82,5.1,0.0
20190304:0610,0.0,0.0,0.0,7.89,5.66,0.0
20190304:0710,291.59,349.13,10.81,8.07,5.45,0.0
20190304:0810,257.74,305.54,18.92,9.3,6.62,0.0
20190304:0910,541.25,636.14,25.65,11.08,5.45,0.0
20190304:1010,519.47,606.17,30.41,11.95,8.83,0.0
20190304:1110,100.64,133.28,32.61,11.06,8.83,0.0
20190304:1210,207.02,251.6,31.95,10.39,8.55,0.0
20190304:1310,157.5,196.07,28.51,9.79,8.48,0.0
20190304:1410,523.54,605.23,22.77,9.2,7.79,0.0
20190304:1510,177.56,219.32,15.34,8.29,6.07,0.0
20190304:1610,58.92,93.02,6.78,7.22,6.97,0.0
20190304:1710,0.0,0.0,0.0,6.14,6.14,0.0
20190304:1810,0.0,0.0,0.0,5.4,5.45,0.0
20190304:1910,0.0,0.0,0.0,4.3,5.17,0.0
20190304:2010,0.0,0.0,0.0,3.76,5.52,0.0
20190304:2110,0.0,0.0,0.0,3.71,5.59,0.0
20190304:2210,0.0,0.0,0.0,3.58,5.52,0.0
20190304:2310,0.0,0.0,0.0,3.41,5.45,0.0
20190305:0010,0.0,0.0,0.0,3.31,5.52,0.0
20190305:0110,0.0,0.0,0.0,3.17,5.52,0.0
20190305:0210,0.0,0.0,0.0,3.42,5.86,0.0
20190305:0310,0.0,0.0,0.0,3.46,5.79,0.0
20190305:0410,0.0,0.0,0.0,3.27,5.66,0.0
20190305:0510,0.0,0.0,0.0,3.04,5.52,0.0
20190305:0610,0.0,0.0,0.0,2.94,5.52,0.0
20190305:0710,130.95,163.13,11.15,3.09,5.45,0.0
20190305:0810,152.4,185.61,19.28,3.75,4.76,0.0
20190305:0910,378.28,432.31,26.03,4.6,5.72,0.0
20190305:1010,253.22,296.18,30.79,4.57,5.86,0.0
20190305:1110,194.49,232.51,33.0,3.67,4.48,0.0
20190305:1210,288.46,333.34,32.32,3.1,4.97,0.0
20190305:1310,320.17,368.56,28.86,3.37,4.34,0.0
20190305:1410,57.14,80.69,23.1,3.69,4.9,0.0
20190305:1510,103.94,134.05,15.64,4.25,3.79,0.0
20190305:1610,88.95,134.8,7.05,4.45,3.59,0.0
20190305:1710,0.0,0.0,0.0,3.81,3.17,0.0
20190305:1810,0.0,0.0,0.0,3.08,3.17,0.0
20190305:1910,0.0,0.0,0.0,2.74,3.17,0.0
20190305:2010,0.0,0.0,0.0,2.38,3.03,0.0
20190305:2110,0.0,0.0,0.0,2.17,2.76,0.0
20190305:2210,0.0,0.0,0.0,1.85,2.62,0.0
20190305:2310,0.0,0.0,0.0,1.7,2.48,0.0
20190306:0010,0.0,0.0,0.0,1.54,2.48,0.0
20190306:0110,0.0,0.0,0.0,1.2,2.48,0.0
20190306:0210,0.0,0.0,0.0,1.22,2.48,0.0
20190306:0310,0.0,0.0,0.0,1.3,2.55,0.0
20190306:0410,0.0,0.0,0.0,1.73,2.69,0.0
20190306:0510,0.0,0.0,0.0,2.13,2.97,0.0
20190306:0610,0.0,1.81,2.51,2.26,3.31,0.0
20190306:0710,37.19,57.17,11.5,2.47,3.52,0.0
20190306:0810,215.82,255.13,19.64,3.96,3.38,0.0
20190306:0910,347.52,401.41,26.4,5.74,4.9,0.0
20190306:1010,482.94,560.47,31.18,7.15,4.41,0.0
20190306:1110,592.71,695.92,33.39,8.54,4.41,0.0
20190306:1210,469.11,550.89,32.7,9.21,4.14,0.0
20190306:1310,158.99,198.41,29.21,8.93,3.31,0.0
20190306:1410,227.67,275.04,23.42,9.48,3.72,0.0
20190306:1510,47.73,71.62,15.93,10.07,4.0,0.0
20190306:1610,13.4,28.11,7.33,9.88,4.0,0.0
20190306:1710,0.0,0.0,0.0,9.08,4.14,0.0
20190306:1810,0.0,0.0,0.0,8.71,4.34,0.0
20190306:1910,0.0,0.0,0.0,8.25,4.21,0.0
20190306:2010,0.0,0.0,0.0,7.98,4.34,0.0
20190306:2110,0.0,0.0,0.0,7.88,4.14,0.0
20190306:2210,0.0,0.0,0.0,7.55,3.79,0.0
20190306:2310,0.0,0.0,0.0,7.1,3.38,0.0
20190307:0010,0.0,0.0,0.0,7.23,3.38,0.0
20190307:0110,0.0,0.0,0.0,7.24,3.31,0.0
20190307:0210,0.0,0.0,0.0,7.31,3.31,0.0
20190307:0310,0.0,0.0,0.0,7.53,3.79,0.0
20190307:0410,0.0,0.0,0.0,7.6,3.66,0.0
20190307:0510,0.0,0.0,0.0,7.19,3.24,0.0
20190307:0610,3.78,14.16,2.85,7.01,3.93,0.0
20190307:0710,118.8,152.79,11.85,8.15,5.31,0.0
20190307:0810,465.62,541.75,20.0,9.44,5.86,0.0
20190307:0910,625.01,734.8,26.78,10.02,5.17,0.0
20190307:1010,340.1,400.17,31.57,10.75,7.66,0.0
20190307:1110,71.35,99.73,33.78,11.37,8.41,0.0
20190307:1210,98.21,130.56,33.08,10.86,6.76,0.0
20190307:1310,368.07,431.89,29.56,10.38,6.55,0.0
20190307:1410,34.38,55.31,23.74,9.9,6.14,0.0
20190307:1510,286.71,345.57,16.23,9.54,6.07,0.0
20190307:1610,96.46,147.37,7.61,8.82,5.1,0.0
20190307:1710,0.0,0.0,0.0,7.98,4.83,0.0
20190307:1810,0.0,0.0,0.0,7.34,4.76,0.0
20190307:1910,0.0,0.0,0.0,7.0,4.97,0.0
20190307:2010,0.0,0.0,0.0,6.73,5.31,0.0
20190307:2110,0.0,0.0,0.0,6.48,5.52,0.0
20190307:2210,0.0,0.0,0.0,6.28,5.66,0.0
20190307:2310,0.0,0.0,0.0,6.07,5.79,0.0
20190308:0010,0.0,0.0,0.0,5.75,5.86,0.0
20190308:0110,0.0,0.0,0.0,5.65,6.14,0.0
20190308:0210,0.0,0.0,0.0,5.46,6.34,0.0
20190308:0310,0.0,0.0,0.0,5.21,6.48,0.0
20190308:0410,0.0,0.0,0.0,5.15,6.69,0.0
20190308:0510,0.0,0.0,0.0,5.0,6.83,0.0
20190308:0610,8.41,22.01,3.2,4.8,6.76,0.0
20190308:0710,141.27,175.92,12.2,5.53,6.28,0.0
20190308:0810,179.2,215.92,20.37,5.94,7.17,0.0
20190308:0910,127.89,160.91,27.17,6.55,8.41,0.0
20190308:1010,155.37,191.42,31.97,6.32,6.97,0.0
20190308:1110,136.48,170.61,34.18,6.21,6.97,0.0
20190308:1210,280.69,329.91,33.45,6.84,5.59,0.0
20190308:1310,86.17,115.14,29.91,7.28,5.52,0.0
20190308:1410,185.8,225.73,24.06,7.47,5.31,0.0
20190308:1510,337.25,401.93,16.52,7.34,4.9,0.0
20190308:1610,90.77,136.96,7.88,6.78,4.28,0.0
20190308:1710,0.0,0.0,0.0,5.79,3.31,0.0
20190308:1810,0.0,0.0,0.0,5.15,3.1,0.0
20190308:1910,0.0,0.0,0.0,4.09,3.24,0.0
20190308:2010,0.0,0.0,0.0,3.66,3.31,0.0
20190308:2110,0.0,0.0,0.0,3.48,3.45,0.0
20190308:2210,0.0,0.0,0.0,3.58,3.72,0.0
20190308:2310,0.0,0.0,0.0,3.67,3.86,0.0
20190309:0010,0.0,0.0,0.0,3.77,3.93,0.0
20190309:0110,0.0,0.0,0.0,3.71,4.28,0.0
20190309:0210,0.0,0.0,0.0,3.89,4.69,0.0
20190309:0310,0.0,0.0,0.0,4.01,5.17,0.0
20190309:0410,0.0,0.0,0.0,4.23,5.59,0.0
20190309:0510,0.0,0.0,0.0,4.19,6.07,0.0
20190309:0610,3.5,12.69,3.54,3.87,6.48,0.0
20190309:0710,113.19,143.93,12.56,4.44,6.76,0.0
20190309:0810,336.46,386.01,20.74,4.97,6.41,0.0
20190309:0910,187.08,225.21,27.55,5.73,6.28,0.0
20190309:1010,468.42,538.45,32.36,6.54,6.07,0.0
20190309:1110,256.3,303.8,34.57,7.54,6.14,0.0
20190309:1210,365.36,425.95,33.83,8.45,6.48,0.0
20190309:1310,273.77,324.72,30.26,8.9,5.72,0.0
20190309:1410,508.66,591.86,24.38,8.78,5.59,0.0
20190309:1510,330.7,394.43,16.81,8.07,5.79,0.0
20190309:1610,78.74,118.99,8.16,7.35,6.62,0.0
20190309:1710,0.0,0.0,0.0,6.78,7.31,0.0
20190309:1810,0.0,0.0,0.0,6.27,7.17,0.0
20190309:1910,0.0,0.0,0.0,6.09,7.66,0.0
20190309:2010,0.0,0.0,0.0,5.28,7.45,0.0
20190309:2110,0.0,0.0,0.0,4.73,6.34,0.0
20190309:2210,0.0,0.0,0.0,4.08,5.24,0.0
20190309:2310,0.0,0.0,0.0,3.62,4.62,0.0
20190310:0010,0.0,0.0,0.0,3.64,4.41,0.0
20190310:0110,0.0,0.0,0.0,3.88,4.07,0.0
20190310:0210,0.0,0.0,0.0,3.9,3.79,0.0
20190310:0310,0.0,0.0,0.0,4.2,3.72,0.0
20190310:0410,0.0,0.0,0.0,4.39,3.72,0.0
20190310:0510,0.0,0.0,0.0,4.61,3.31,0.0
20190310:0610,0.0,5.44,3.89,4.31,2.83,0.0
20190310:0710,26.35,44.43,12.91,4.75,2.69,0.0
20190310:0810,53.54,77.06,21.11,5.1,3.1,0.0
20190310:0910,84.44,112.42,27.93,5.03,2.97,0.0
20190310:1010,249.49,295.28,32.76,5.46,3.45,0.0
20190310:1110,79.18,106.98,34.96,6.45,3.79,0.0
20190310:1210,688.3,808.94,34.21,8.79,5.38,0.0
20190310:1310,118.99,153.28,30.62,9.57,7.38,0.0
20190310:1410,131.88,167.43,24.7,9.37,6.83,0.0
20190310:1510,27.16,46.24,17.11,9.78,7.17,0.0
20190310:1610,103.61,156.29,8.43,8.92,8.41,0.0
20190310:1710,0.0,0.0,0.0,7.92,8.55,0.0
20190310:1810,0.0,0.0,0.0,7.18,9.38,0.0
20190310:1910,0.0,0.0,0.0,5.71,9.45,0.0
20190310:2010,0.0,0.0,0.0,4.18,8.55,0.0
20190310:2110,0.0,0.0,0.0,2.88,6.55,0.0
20190310:2210,0.0,0.0,0.0,2.23,4.97,0.0
20190310:2310,0.0,0.0,0.0,1.58,4.28,0.0
20190311:0010,0.0,0.0,0.0,1.69,5.38,0.0
20190311:0110,0.0,0.0,0.0,1.57,5.59,0.0
20190311:0210,0.0,0.0,0.0,1.21,5.17,0.0
20190311:0310,0.0,0.0,0.0,0.96,4.76,0.0
20190311:0410,0.0,0.0,0.0,0.75,4.21,0.0
20190311:0510,0.0,0.0,0.0,0.66,4.07,0.0
20190311:0610,5.82,16.32,4.23,0.61,4.55,0.0
20190311:0710,23.25,39.89,13.27,0.74,4.62,0.0
20190311:0810,152.67,184.67,21.48,1.65,4.34,0.0
20190311:0910,388.23,440.69,28.32,2.29,4.83,0.0
20190311:1010,668.07,763.94,33.15,3.13,5.17,0.0
20190311:1110,267.05,311.03,35.36,3.62,5.38,0.0
20190311:1210,212.58,252.24,34.59,4.1,5.72,0.0
20190311:1310,109.25,138.72,30.97,2.95,5.38,0.0
20190311:1410,54.06,77.06,25.02,3.42,5.03,0.0
20190311:1510,215.38,257.17,17.4,3.61,4.76,0.0
20190311:1610,31.62,51.44,8.71,3.05,5.03,0.0
20190311:1710,0.0,0.0,0.0,2.72,4.83,0.0
20190311:1810,0.0,0.0,0.0,2.36,5.1,0.0
20190311:1910,0.0,0.0,0.0,1.79,4.97,0.0
20190311:2010,0.0,0.0,0.0,1.38,4.69,0.0
20190311:2110,0.0,0.0,0.0,0.94,4.48,0.0
20190311:2210,0.0,0.0,0.0,0.85,4.28,0.0
20190311:2310,0.0,0.0,0.0,0.92,3.86,0.0
20190312:0010,0.0,0.0,0.0,1.13,3.45,0.0
20190312:0110,0.0,0.0,0.0,1.12,3.24,0.0
20190312:0210,0.0,0.0,0.0,1.01,2.9,0.0
20190312:0310,0.0,0.0,0.0,1.05,2.41,0.0
20190312:0410,0.0,0.0,0.0,0.9,2.41,0.0
20190312:0510,0.0,0.0,0.0,0.86,2.48,0.0
20190312:0610,3.56,12.69,4.58,1.07,2.55,0.0
20190312:0710,250.38,294.7,13.63,1.73,2.55,0.0
20190312:0810,404.83,459.91,21.85,2.42,4.28,0.0
20190312:0910,667.11,768.37,28.71,3.46,4.07,0.0
20190312:1010,612.8,707.06,33.55,4.59,4.34,0.0
20190312:1110,636.12,735.98,35.76,5.7,5.1,0.0
20190312:1210,715.8,834.0,34.97,6.73,5.52,0.0
20190312:1310,52.35,76.16,31.32,7.02,5.1,0.0
20190312:1410,303.18,355.13,25.34,7.07,5.03,0.0
20190312:1510,156.78,194.78,17.69,6.87,4.69,0.0
20190312:1610,17.02,32.64,8.98,6.35,4.48,0.0
20190312:1710,0.0,0.0,0.0,5.83,4.9,0.0
20190312:1810,0.0,0.0,0.0,5.43,5.38,0.0
20190312:1910,0.0,0.0,0.0,5.23,5.72,0.0
20190312:2010,0.0,0.0,0.0,5.14,5.93,0.0
20190312:2110,0.0,0.0,0.0,5.09,6.14,0.0
20190312:2210,0.0,0.0,0.0,5.38,6.21,0.0
20190312:2310,0.0,0.0,0.0,5.7,6.21,0.0
20190313:0010,0.0,0.0,0.0,5.57,6.0,0.0
20190313:0110,0.0,0.0,0.0,5.39,5.79,0.0
